tax_id	abundance	species	genus	family	order	class	phylum	clade	superkingdom	subspecies	species subgroup	species group	estimated counts
1867725125	4.244520445343286e-05	Exiguobacterium_A undae	Exiguobacterium_A	Exiguobacteriaceae	Exiguobacteriales	Bacilli	Bacillota	620805.0	Bacteria				20.263467941682208
197513865	0.0011241602341055975	Exiguobacterium_A undae	Exiguobacterium_A	Exiguobacteriaceae	Exiguobacteriales	Bacilli	Bacillota	3598705.0	Bacteria				536.6774682427146
1079637597	0.0028105291785628446	Exiguobacterium_A undae	Exiguobacterium_A	Exiguobacteriaceae	Exiguobacteriales	Bacilli	Bacillota	620825.0	Bacteria				1341.7550614334377
457509801	2.325715560871694e-05	Exiguobacterium_A undae	Exiguobacterium_A	Exiguobacteriaceae	Exiguobacteriales	Bacilli	Bacillota	1650325.0	Bacteria				11.103035859068292
1425258363	6.0156672800123486e-05	Exiguobacterium_A artemiae	Exiguobacterium_A	Exiguobacteriaceae	Exiguobacteriales	Bacilli	Bacillota	19905.0	Bacteria				28.718976064797353
339143354	0.000420853259175179	UMGS1994 sp944386155	UMGS1994	CAG-508	TANB77	Clostridia	Bacillota	963931085.0	Bacteria				200.91660849000797
1680833845	0.0003982055257079212	UMGS1994 sp947368535	UMGS1994	CAG-508	TANB77	Clostridia	Bacillota	947368535.0	Bacteria				190.1045125895387
1886778502	0.00013765124865912522	Blautia_A sp900120195	Blautia_A	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	900120195.0	Bacteria				65.71511906361236
2065117207	0.00014840584027644407	Blautia_A sp937880195	Blautia_A	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	46882405.0	Bacteria				70.84939336549523
1238046398	5.329399636324683e-05	Blautia_A caecimuris	Blautia_A	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	42853845.0	Bacteria				25.442713745803125
346357420	3.5249940150694865e-05	RUG806 sp045576275	RUG806	Acutalibacteraceae	Oscillospirales	Clostridia	Bacillota	45576275.0	Bacteria				16.82842717776218
83751782	0.00028024848318899856	Ruminococcoides intestinihominis	Ruminococcoides	Acutalibacteraceae	Oscillospirales	Clostridia	Bacillota	25993155.0	Bacteria				133.79146661987747
399202783	6.49368610187619e-05	Ruminococcoides sp004560275	Ruminococcoides	Acutalibacteraceae	Oscillospirales	Clostridia	Bacillota	22774755.0	Bacteria				31.00105226093999
560801432	2.304132986177302e-05	Ruminococcoides sp905233145	Ruminococcoides	Acutalibacteraceae	Oscillospirales	Clostridia	Bacillota	905233145.0	Bacteria				11.000000000000025
745187143	3.6957335669429635e-05	Akkermansia sp900766865	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiia	Verrucomicrobiota	902485615.0	Bacteria				17.643542920592715
864314808	8.842684654450555e-05	Porcincola intestinalis	Porcincola	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	9696445.0	Bacteria				42.21524182088658
903657862	0.00020090770565863128	Prevotella sp946415365	Prevotella	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	918231625.0	Bacteria				95.91394140454754
1123348095	0.00030190265698678106	Akkermansia sp015062005	Akkermansia	Akkermansiaceae	Verrucomicrobiales	Verrucomicrobiia	Verrucomicrobiota	937876685.0	Bacteria				144.12923415346023
296685704	3.8457249240302816e-05	Roseburia intestinalis	Roseburia	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	41333795.0	Bacteria				18.359606159068285
670103384	3.005599274380333e-05	Roseburia intestinalis	Roseburia	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	13300445.0	Bacteria				14.348821103869941
1574898656	7.62577063798907e-05	Phocaeicola barnesiae	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	21531035.0	Bacteria				36.405657798878956
527291818	3.1531759825262964e-05	Prevotella copri_B	Prevotella	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	48167345.0	Bacteria				15.053356735860014
957439328	3.6204762500711206e-05	Bifidobacterium adolescentis	Bifidobacterium	Bifidobacteriaceae	Actinomycetales	Actinomycetes	Actinomycetota	48489215.0	Bacteria				17.28426223212703
616786596	0.00080944794810001	Psychrobacillus antarcticus	Psychrobacillus	Planococcaceae	Bacillales_A	Bacilli	Bacillota	29533155.0	Bacteria				386.4328787667891
839258668	0.0008126754291420095	Clostridium vincentii	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Bacillota	2995745.0	Bacteria				387.9736878986827
2128453253	0.00010923992875879489	Ruminococcoides bromii_A	Ruminococcoides	Acutalibacteraceae	Oscillospirales	Clostridia	Bacillota	45132455.0	Bacteria				52.15146970923496
1666390262	0.00027549109769327973	Arthrobacter_B sp044762205	Arthrobacter_B	Micrococcaceae	Actinomycetales	Actinomycetes	Actinomycetota	44762205.0	Bacteria				131.5202765120648
1458778653	0.00010590104633000404	Arthrobacter_B sp020907315	Arthrobacter_B	Micrococcaceae	Actinomycetales	Actinomycetes	Actinomycetota	20907315.0	Bacteria				50.55747722108292
642757730	0.000821082290571973	Roseburia rectalis	Roseburia	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	48319595.0	Bacteria				391.9871487659316
1556129838	0.00013615331281956753	Clostridium sp000230835	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Bacillota	230835.0	Bacteria				65.0
1881198220	0.0007758506742629164	Faecalimonas phoceensis	Faecalimonas	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	46882275.0	Bacteria				370.39343944513905
2118624714	7.907174500237341e-05	Faecalimonas phoceensis	Faecalimonas	Lachnospiraceae	Lachnospirales	Clostridia	Bacillota	902652205.0	Bacteria				37.749088279368074
